"year","round","player","DM"
2013,"First","Benjamin Becker",1.13888888888889
2013,"First","Milos Raonic",1.70833333333333
2013,"First","Go Soeda",1.31428571428571
2013,"First","Denis Istomin",1.48148148148148
2013,"First","Andy Murray",1.60606060606061
2013,"First","Andreas Seppi",1.70833333333333
2013,"First","Blaz Kavcic",1.32352941176471
2013,"First","Joao Sousa",1.4375
2013,"First","Roger Federer",1.76
2013,"First","Jarkko Nieminen",0.972222222222222
2013,"First","Nikolay Davydenko",1.13157894736842
2013,"First","Richard Gasquet",2
2013,"First","Philipp Kohlschreiber",1.65217391304348
2013,"First","Yen-Hsun Lu",1.84
2013,"First","Florian Mayer",1
2013,"First","Marcel Granollers",1.41379310344828
2013,"First","Rajeev Ram",1.18181818181818
2013,"First","Alejandro Falla",1.09375
2013,"First","Richard Berankis",1.48
2013,"First","Tobias Kamke",1.40540540540541
2013,"First","Marcos Baghdatis",0.972972972972973
2013,"First","Nicolas Almagro",1.38461538461538
2013,"First","Sam Querrey",1.36
2013,"First","Somdev Devvarman",1.30555555555556
2013,"First","Lukas Lacko",1.44
2013,"First","Novak Djokovic",1.94736842105263
2013,"First","Tim Smyczek",1.22222222222222
2013,"First","Kevin Anderson",1.12903225806452
2013,"First","Tatsuma Ito",0.906976744186046
2013,"First","Evgeny Donskoy",1.41379310344828
2013,"First","Jerzy Janowicz",1.3030303030303
2013,"First","Ryan Harrison",1.14285714285714
2013,"First","Radek Stepanek",1.10810810810811
2013,"First","Andrey Kuznetsov",1.45
2013,"First","Roberto Bautista-Agut",1.22222222222222
2013,"First","Edouard Roger-Vasselin",1
2013,"First","Kei Nishikori",1.28125
2013,"First","Julien Benneteau",1.76
2013,"First","Xavier Malisse",1.76923076923077
2013,"First","Janko Tipsarevic",1.33333333333333
2013,"First","David Ferrer",1.66666666666667
2013,"First","Fernando Verdasco",1.09090909090909
2013,"First","Jurgen Melzer",2.11538461538462
2013,"First","Feliciano Lopez",1.85714285714286
2013,"First","Brian Baker",1.13888888888889
2013,"First","Stanislas Wawrinka",1.51851851851852
2013,"First","Carlos Berlocq",1.08823529411765
2013,"First","Daniel Gimeno-Traver",1.08108108108108
2013,"First","Tomas Berdych",1.375
2013,"First","Guillaume Rufin",1.24324324324324
2004,"Final","Roger Federer",1.40625
2004,"semi","Roger Federer",1.39285714285714
2004,"semi","Marat Safin",1.0625
2004,"quarter","Juan Carlos Ferrero",0.941176470588235
2004,"quarter","Roger Federer",1.03030303030303
2004,"quarter","Andre Agassi",1.76666666666667
2004,"quarter","Marat Safin",0.941176470588235
2004,"Fourth","Hicham Arazi",1.45161290322581
2004,"Fourth","Roger Federer",1.21212121212121
2004,"Fourth","David Nalbandian",2.04
2004,"Fourth","Juan Carlos Ferrero",1.3
2004,"Fourth","Andre Agassi",1.57692307692308
2004,"Fourth","Marat Safin",1.05714285714286
2004,"Fourth","Andy Roddick",1.92307692307692
